venue.id,venue.name,venue.id,venue.location.lat,venue.location.lng
4dceff86d4c065592f8dfadd,UW: Rainier Vista,4dceff86d4c065592f8dfadd,47.65244289457096,-122.30600453522311
4a02aa29f964a52060711fe3,Pioneer Square,4a02aa29f964a52060711fe3,47.601976647403845,-122.33389589387261
4bb3f01d9af3b71300cb8b28,Constellation Park,4bb3f01d9af3b71300cb8b28,47.57376642780386,-122.41594910739812
4b155088f964a520beb023e3,T-Mobile Park,4b155088f964a520beb023e3,47.59077725578357,-122.33300294165383
49ea4f51f964a5204c661fe3,Carkeek Park,49ea4f51f964a5204c661fe3,47.71239128271022,-122.3780129902939
4b639049f964a520ac832ae3,Heritage Park,4b639049f964a520ac832ae3,47.67824450077347,-122.21053732288054
4bbcb9d08a4fb713020f3c9d,Waterfront Park,4bbcb9d08a4fb713020f3c9d,47.6069291389153,-122.34174462950551
4c6df4534d24b60cb69cd7d8,Seven Hills Park,4c6df4534d24b60cb69cd7d8,47.61786763088391,-122.31184353569776
49e77530f964a520a4641fe3,Westlake Park,49e77530f964a520a4641fe3,47.61104967887254,-122.33719678826789
4deea58ae4cdef4ed2c50062,Green Lake Neighborhood,4deea58ae4cdef4ed2c50062,47.678740821355234,-122.3279871705964
49ed7b0af964a520ec671fe3,Kelsey Creek Park,49ed7b0af964a520ec671fe3,47.60488239767633,-122.1661984497623
4a6e5ac0f964a5208fd41fe3,Cowen Park,4a6e5ac0f964a5208fd41fe3,47.67208537645008,-122.31477657433558
4aad7bf9f964a520896020e3,Medina Park,4aad7bf9f964a520896020e3,47.620749322652486,-122.23052797144797
4bc77bc392b376b0ffcd4f3a,View Ridge Area,4bc77bc392b376b0ffcd4f3a,47.67951649270066,-122.27165378219081
4a614619f964a52038c21fe3,Bothell Landing,4a614619f964a52038c21fe3,47.758207721399906,-122.20857891918814
475f1cc0f964a520dc4c1fe3,Matthews Beach Park,475f1cc0f964a520dc4c1fe3,47.69655245150628,-122.27325575137968
45b348a3f964a520a9411fe3,Olympic Sculpture Park,45b348a3f964a520a9411fe3,47.61636542390172,-122.35478134122522
4bddd5b80ee3a593c5d62eb0,Madison Park,4bddd5b80ee3a593c5d62eb0,47.63546187577772,-122.27730631828308
4faeb986e4b08260e402854a,The Harbor Steps,4faeb986e4b08260e402854a,47.606852466411496,-122.3387632132612
4700f840f964a520364b1fe3,Juanita Beach Park,4700f840f964a520364b1fe3,47.70470779545952,-122.21530437469482
4b68cf65f964a520218e2be3,North Rose Hill Woodlands Park,4b68cf65f964a520218e2be3,47.68749035663648,-122.17522249758692
4b76dec5f964a520c9652ee3,Robinswood Park,4b76dec5f964a520c9652ee3,47.59034754915111,-122.14051585485258
49da95bcf964a520955e1fe3,Jim Ellis Freeway Park,49da95bcf964a520955e1fe3,47.61000059787849,-122.3310700805732
4bcb8d85511f9521c7c0b1c7,Seacrest Park,4bcb8d85511f9521c7c0b1c7,47.589382384824646,-122.38027271314593
4a6264a1f964a520f0c31fe3,Kirkland Marina Park,4a6264a1f964a520f0c31fe3,47.67538639828759,-122.20830917358398
4c07ddb0221620a11578f775,Parsons Gardens,4c07ddb0221620a11578f775,47.629757640387005,-122.36602682807154
4ac23711f964a520399820e3,Bellevue Botanical Garden,4ac23711f964a520399820e3,47.609570105411066,-122.17896212262448
43eb4227f964a520322f1fe3,Golden Gardens Park,43eb4227f964a520322f1fe3,47.69058264501714,-122.40329577588459
4bb423ee643cd13abf7a395c,Juanita Bay Park,4bb423ee643cd13abf7a395c,47.695417800959284,-122.21078333558283
4b0f0bd0f964a5208c5e23e3,Salmon Bay Park,4b0f0bd0f964a5208c5e23e3,47.67918224152669,-122.38126445349697
4b93fb63f964a520d65e34e3,Luther Burbank Dog Park,4b93fb63f964a520d65e34e3,47.59408207045143,-122.2260900216571
